year,category,motivation,prizeShare,laureateID,fullName,gender,born,bornCountry,bornCity,died,diedCountry,diedCity,organizationName,organizationCountry,organizationCity
2004,economics,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles,2,787,Edward C. Prescott,male,26-12-1940,USA,Glens Falls NY,11/6/2022,USA,Paradise Valley AZ,Arizona State University,USA,Tempe AZ
2004,economics,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles,2,786,Finn E. Kydland,male,1/12/1943,Norway,Gjesdal,0000-00-00,,,Carnegie Mellon University,USA,Pittsburgh PA
2004,peace,for her contribution to sustainable development democracy and peace,1,783,Wangari Maathai,female,1/4/1940,Kenya,Nyeri,9/25/2011,Kenya,Nairobi,,,
2004,chemistry,for the discovery of ubiquitin-mediated protein degradation,3,781,Irwin Rose,male,16-07-1926,USA,Brooklyn NY,6/3/2015,USA,Deerfield MA,University of California,USA,Irvine CA
2004,chemistry,for the discovery of ubiquitin-mediated protein degradation,3,780,Avram Hershko,male,31-12-1937,Hungary,Karcag,0000-00-00,,,Technion - Israel Institute of Technology,Israel,Haifa
2004,chemistry,for the discovery of ubiquitin-mediated protein degradation,3,779,Aaron Ciechanover,male,1/10/1947,Israel,Haifa,0000-00-00,,,Technion - Israel Institute of Technology,Israel,Haifa
2004,physics,for the discovery of asymptotic freedom in the theory of the strong interaction,3,778,Frank Wilczek,male,15-05-1951,USA,New York NY,0000-00-00,,,Massachusetts Institute of Technology (MIT),USA,Cambridge MA
2004,physics,for the discovery of asymptotic freedom in the theory of the strong interaction,3,777,H. David Politzer,male,31-08-1949,USA,New York NY,0000-00-00,,,California Institute of Technology (Caltech),USA,Pasadena CA
2004,physics,for the discovery of asymptotic freedom in the theory of the strong interaction,3,776,David J. Gross,male,19-02-1941,USA,Washington D.C.,0000-00-00,,,University of California Kavli Institute for Theoretical Physics,USA,Santa Barbara CA
2004,medicine,for their discoveries of odorant receptors and the organization of the olfactory system,2,775,Linda B. Buck,female,29-01-1947,USA,Seattle WA,0000-00-00,,,Fred Hutchinson Cancer Research Center,USA,Seattle WA
2004,medicine,for their discoveries of odorant receptors and the organization of the olfactory system,2,774,Richard Axel,male,2/7/1946,USA,New York NY,0000-00-00,,,Columbia University,USA,New York NY
2003,peace,for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children,1,773,Shirin Ebadi,female,21-06-1947,Iran,Hamadan,0000-00-00,,,,,
2003,economics,for methods of analyzing economic time series with common trends (cointegration),2,772,Clive W.J. Granger,male,4/9/1934,United Kingdom,Swansea,5/27/2009,USA,San Diego CA,University of California,USA,San Diego CA
2003,economics,for methods of analyzing economic time series with time-varying volatility (ARCH),2,771,Robert F. Engle III,male,10/11/1942,USA,Syracuse NY,0000-00-00,,,New York University,USA,New York NY
2003,chemistry,for structural and mechanistic studies of ion channels,2,770,Roderick MacKinnon,male,19-02-1956,USA,Burlington MA,0000-00-00,,,Rockefeller University,USA,New York NY
2003,chemistry,for the discovery of water channels,2,769,Peter Agre,male,30-01-1949,USA,Northfield MN,0000-00-00,,,Johns Hopkins University School of Medicine,USA,Baltimore MD
2003,physics,for pioneering contributions to the theory of superconductors and superfluids,3,768,Anthony J. Leggett,male,26-03-1938,United Kingdom,London,0000-00-00,,,University of Illinois,USA,Urbana IL
2003,physics,for pioneering contributions to the theory of superconductors and superfluids,3,767,Vitaly L. Ginzburg,male,4/10/1916,Russia,Moscow,11/8/2009,,,P.N. Lebedev Physical Institute,Russia,Moscow
2003,physics,for pioneering contributions to the theory of superconductors and superfluids,3,766,Alexei Abrikosov,male,25-06-1928,Russia,Moscow,3/29/2017,,,Argonne National Laboratory,USA,Argonne IL
2003,medicine,for their discoveries concerning magnetic resonance imaging,2,765,Sir Peter Mansfield,male,9/10/1933,United Kingdom,London,2/8/2017,,,University of Nottingham School of Physics and Astronomy,United Kingdom,Nottingham
2003,medicine,for their discoveries concerning magnetic resonance imaging,2,764,Paul C. Lauterbur,male,6/5/1929,USA,Sidney OH,3/27/2007,USA,Urbana IL,University of Illinois,USA,Urbana IL
2003,literature,who in innumerable guises portrays the surprising involvement of the outsider,1,763,J. M. Coetzee,male,9/2/1940,South Africa,Cape Town,0000-00-00,,,,,
2002,literature,for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history,1,761,Imre Kertesz,male,9/11/1929,Hungary,Budapest,3/31/2016,Hungary,Budapest,,,
2002,chemistry,for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution,2,758,Kurt Wuthrich,male,4/10/1938,Switzerland,Aarberg,0000-00-00,,,Swiss Federal Institute of Technology,Switzerland,Zurich
2002,peace,for his decades of untiring effort to find peaceful solutions to international conflicts to advance democracy and human rights and to promote economic and social development,1,762,Jimmy Carter,male,1/10/1924,USA,Plains GA,0000-00-00,,,,,
2002,economics,for having established laboratory experiments as a tool in empirical economic analysis especially in the study of alternative market mechanisms,2,760,Vernon L. Smith,male,1/1/1927,USA,Wichita KS,0000-00-00,,,George Mason University,USA,Fairfax VA
2002,economics,for having integrated insights from psychological research into economic science especially concerning human judgment and decision-making under uncertainty,2,759,Daniel Kahneman,male,5/3/1934,Israel,Tel Aviv,0000-00-00,,,Princeton University,USA,Princeton NJ
2002,chemistry,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,4,757,Koichi Tanaka,male,3/8/1959,Japan,Toyama City,0000-00-00,,,Shimadzu Corp.,Japan,Kyoto
2002,chemistry,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,4,756,John B. Fenn,male,15-06-1917,USA,New York NY,12/10/2010,USA,Richmond VA,Virginia Commonwealth University,USA,Richmond VA
2002,physics,for pioneering contributions to astrophysics which have led to the discovery of cosmic X-ray sources,2,755,Riccardo Giacconi,male,6/10/1931,Italy,Genoa,12/16/2018,USA,La Jolla CA,Associated Universities Inc.,USA,Washington D.C.
2002,physics,for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos,4,754,Masatoshi Koshiba,male,19-09-1926,Japan,Toyohashi,11/12/2020,Japan,Tokyo,University of Tokyo,Japan,Tokyo
2002,physics,for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos,4,753,Raymond Davis Jr.,male,14-10-1914,USA,Washington D.C.,5/31/2006,USA,Blue Point NY,University of Pennsylvania,USA,Philadelphia PA
2002,medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death',3,752,John E. Sulston,male,27-03-1942,United Kingdom,Cambridge,3/6/2018,United Kingdom,Stapleford Cambridgeshire,The Wellcome Trust Sanger Institute,United Kingdom,Cambridge
2002,medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death',3,751,H. Robert Horvitz,male,8/5/1947,USA,Chicago IL,0000-00-00,,,Massachusetts Institute of Technology (MIT),USA,Cambridge MA
2002,medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death',3,750,Sydney Brenner,male,13-01-1927,South Africa,Germiston,4/5/2019,Singapore,,The Molecular Sciences Institute,USA,Berkeley CA
2001,peace,for their work for a better organized and more peaceful world,2,749,Kofi Annan,male,8/4/1938,Ghana,Kumasi,8/18/2018,Switzerland,Bern,,,
2001,peace,for their work for a better organized and more peaceful world,2,748,United Nations ,org,1945-00-00,,,,,,,,
2001,literature,for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories,1,747,V. S. Naipaul,male,17-08-1932,Trinidad and Tobago,Chaguanas,8/11/2018,United Kingdom,London,,,
2001,economics,for their analyses of markets with asymmetric information,3,746,Joseph E. Stiglitz,male,9/2/1943,USA,Gary IN,0000-00-00,,,Columbia University,USA,New York NY
2001,economics,for their analyses of markets with asymmetric information,3,745,A. Michael Spence,male,1943-00-00,USA,Montclair NJ,0000-00-00,,,Stanford University,USA,Stanford CA
2001,economics,for their analyses of markets with asymmetric information,3,744,George A. Akerlof,male,17-06-1940,USA,New Haven CT,0000-00-00,,,University of California,USA,Berkeley CA
2001,chemistry,for his work on chirally catalysed oxidation reactions,2,743,Barry Sharpless,male,28-04-1941,USA,Philadelphia PA,0000-00-00,,,The Scripps Research Institute,USA,La Jolla CA
2001,chemistry,for their work on chirally catalysed hydrogenation reactions,4,742,Ryoji Noyori,male,3/9/1938,Japan,Kobe,0000-00-00,,,Nagoya University,Japan,Nagoya
2001,chemistry,for their work on chirally catalysed hydrogenation reactions,4,741,William Knowles,male,1/6/1917,USA,Taunton MA,6/13/2012,USA,Chesterfield MO,,,
2001,physics,for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates,3,740,Carl Wieman,male,26-03-1951,USA,Corvallis OR,0000-00-00,,,University of Colorado JILA,USA,Boulder CO
2001,physics,for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates,3,739,Wolfgang Ketterle,male,21-10-1957,Germany,Heidelberg,0000-00-00,,,Massachusetts Institute of Technology (MIT),USA,Cambridge MA
2001,physics,for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates,3,738,Eric Cornell,male,19-12-1961,USA,Palo Alto CA,0000-00-00,,,University of Colorado JILA,USA,Boulder CO
2001,medicine,for their discoveries of key regulators of the cell cycle,3,737,Sir Paul Nurse,male,25-01-1949,United Kingdom,Norwich,0000-00-00,,,Imperial Cancer Research Fund,United Kingdom,London
2001,medicine,for their discoveries of key regulators of the cell cycle,3,736,Tim Hunt,male,19-02-1943,United Kingdom,Neston,0000-00-00,,,Imperial Cancer Research Fund,United Kingdom,London
2001,medicine,for their discoveries of key regulators of the cell cycle,3,735,Leland Hartwell,male,30-10-1939,USA,Los Angeles CA,0000-00-00,,,Fred Hutchinson Cancer Research Center,USA,Seattle WA
2000,medicine,for their discoveries concerning signal transduction in the nervous system,3,722,Arvid Carlsson,male,25-01-1923,Sweden,Uppsala,6/29/2018,Sweden,Gothenburg,Goteborg University,Sweden,Gothenburg
2000,literature,for an universal validity bitter insights and linguistic ingenuity which has opened new paths for the Chinese novel and drama,1,734,Xingjian Gao,male,4/1/1940,China,Ganzhou,0000-00-00,,,,,
2000,economics,for his development of theory and methods for analyzing discrete choice,2,733,Daniel L. McFadden,male,29-07-1937,USA,Raleigh NC,0000-00-00,,,University of California,USA,Berkeley CA
2000,economics,for his development of theory and methods for analyzing selective samples,2,732,James J. Heckman,male,19-04-1944,USA,Chicago IL,0000-00-00,,,University of Chicago,USA,Chicago IL
2000,chemistry,for the discovery and development of conductive polymers,3,731,Hideki Shirakawa,male,20-08-1936,Japan,Tokyo,0000-00-00,,,University of Tsukuba,Japan,Tsukuba
2000,chemistry,for the discovery and development of conductive polymers,3,730,Alan MacDiarmid,male,14-04-1927,New Zealand,Masterton,2/7/2007,USA,Drexel Hill PA,University of Pennsylvania,USA,Philadelphia PA
2000,chemistry,for the discovery and development of conductive polymers,3,729,Alan Heeger,male,22-01-1936,USA,Sioux City IA,0000-00-00,,,University of California,USA,Santa Barbara CA
2000,physics,for his part in the invention of the integrated circuit,2,728,Jack Kilby,male,8/11/1923,USA,Jefferson City MO,6/20/2005,USA,Dallas TX,Texas Instruments,USA,Dallas TX
2000,physics,for developing semiconductor heterostructures used in high-speed- and opto-electronics,4,727,Herbert Kroemer,male,25-08-1928,Germany,Weimar,0000-00-00,,,University of California,USA,Santa Barbara CA
2000,physics,for developing semiconductor heterostructures used in high-speed- and opto-electronics,4,726,Zhores Alferov,male,15-03-1930,Belarus,Vitebsk Belorussia,3/1/2019,Russia,St. Petersburg,A.F. Ioffe Physico-Technical Institute,Russia,St. Petersburg
2000,peace,for his work for democracy and human rights in South Korea and in East Asia in general and for peace and reconciliation with North Korea in particular,1,725,Kim Dae-jung,male,3/12/1925,South Korea,Mokpo,8/18/2009,,,,,
2000,medicine,for their discoveries concerning signal transduction in the nervous system,3,724,Eric Kandel,male,7/11/1929,Austria,Vienna,0000-00-00,,,Columbia University,USA,New York NY
2000,medicine,for their discoveries concerning signal transduction in the nervous system,3,723,Paul Greengard,male,11/12/1925,USA,New York NY,4/13/2019,USA,New York NY,Rockefeller University,USA,New York NY
1999,physics,for elucidating the quantum structure of electroweak interactions in physics,2,158,Gerardus 't Hooft,male,5/7/1946,the Netherlands,Den Helder,0000-00-00,,,Utrecht University,the Netherlands,Utrecht
1999,literature,whose frolicsome black fables portray the forgotten face of history,1,676,Gnter Grass,male,16-10-1927,Poland,Gdansk,4/13/2015,Germany,Lubeck,,,
1999,economics,for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas,1,720,Robert Mundell,male,24-10-1932,Canada,Kingston ON,4/4/2021,Italy,Siena,Columbia University,USA,New York NY
1999,peace,in recognition of the organisation's pioneering humanitarian work on several continents,1,568,Doctors Without Borders ,org,1971-00-00,,,,,,,,
1999,medicine,for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell,1,461,Gnter Blobel,male,21-05-1936,Poland,Niegoslawice,2/18/2018,USA,New York NY,Rockefeller University,USA,New York NY
1999,chemistry,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,1,292,Ahmed Zewail,male,26-02-1946,Egypt,Damanhur,8/2/2016,USA,Pasadena CA,California Institute of Technology (Caltech),USA,Pasadena CA
1999,physics,for elucidating the quantum structure of electroweak interactions in physics,2,159,Martinus J.G. Veltman,male,27-06-1931,the Netherlands,Waalwijk,1/4/2021,the Netherlands,Bilthoven,,,
1998,literature,who with parables sustained by imagination compassion and irony continually enables us once again to apprehend an elusory reality,1,675,Jose Saramago,male,16-11-1922,Portugal,Azinhaga,6/18/2010,Spain,Lanzarote,,,
1998,economics,for his contributions to welfare economics,1,719,Amartya Sen,male,3/11/1933,India,Santiniketan,0000-00-00,,,Trinity College,United Kingdom,Cambridge
1998,peace,for their efforts to find a peaceful solution to the conflict in Northern Ireland,2,567,David Trimble,male,15-10-1944,Northern Ireland,Belfast,7/25/2022,Northern Ireland,Belfast,,,
1998,peace,for their efforts to find a peaceful solution to the conflict in Northern Ireland,2,566,John Hume,male,18-01-1937,Northern Ireland,Londonderry,8/3/2020,Northern Ireland,Londonderry,,,
1998,medicine,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,3,460,Ferid Murad,male,14-09-1936,USA,Whiting IN,9/4/2023,USA,Menlo Park CL,University of Texas Medical School at Houston,USA,Houston TX
1998,medicine,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,3,459,Louis J. Ignarro,male,31-05-1941,USA,Brooklyn NY,0000-00-00,,,University of California School of Medicine,USA,Los Angeles CA
1998,medicine,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,3,458,Robert F. Furchgott,male,4/6/1916,USA,Charleston SC,5/19/2009,USA,Seattle WA,SUNY Health Science Center,USA,Brooklyn NY
1998,chemistry,for his development of computational methods in quantum chemistry,2,291,John Pople,male,31-10-1925,United Kingdom,Burnham on Sea,3/15/2004,USA,Chicago IL,Northwestern University,USA,Evanston IL
1998,chemistry,for his development of the density-functional theory,2,290,Walter Kohn,male,9/3/1923,Austria,Vienna,4/19/2016,USA,Santa Barbara CA,University of California,USA,Santa Barbara CA
1998,physics,for their discovery of a new form of quantum fluid with fractionally charged excitations,3,157,Daniel C. Tsui,male,28-02-1939,China,Henan,0000-00-00,,,Princeton University,USA,Princeton NJ
1998,physics,for their discovery of a new form of quantum fluid with fractionally charged excitations,3,156,Horst L. Stormer,male,6/4/1949,Germany,Frankfurt-on-the-Main,0000-00-00,,,Columbia University,USA,New York NY
1998,physics,for their discovery of a new form of quantum fluid with fractionally charged excitations,3,155,Robert B. Laughlin,male,1/11/1950,USA,Visalia CA,0000-00-00,,,Stanford University,USA,Stanford CA
1997,physics,for development of methods to cool and trap atoms with laser light,3,153,Claude Cohen-Tannoudji,male,1/4/1933,Algeria,Constantine,0000-00-00,,,College de France,France,Paris
1997,economics,for a new method to determine the value of derivatives,2,718,Myron Scholes,male,1/7/1941,Canada,Timmins ON,0000-00-00,,,Long Term Capital Management,USA,Greenwich CT
1997,economics,for a new method to determine the value of derivatives,2,717,Robert C. Merton,male,31-07-1944,USA,New York NY,0000-00-00,,,Harvard University,USA,Cambridge MA
1997,literature,who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden,1,674,Dario Fo,male,24-03-1926,Italy,Leggiuno-Sangiano,10/13/2016,Italy,Milan,,,
1997,peace,for their work for the banning and clearing of anti-personnel mines,2,565,Jody Williams,female,9/10/1950,USA,Putney VT,0000-00-00,,,,,
1997,peace,for their work for the banning and clearing of anti-personnel mines,2,564,International Campaign to Ban Landmines ,org,1992-00-00,,,,,,,,
1997,medicine,for his discovery of Prions - a new biological principle of infection,1,457,Stanley B. Prusiner,male,28-05-1942,USA,Des Moines IA,0000-00-00,,,University of California School of Medicine,USA,San Francisco CA
1997,chemistry,for the first discovery of an ion-transporting enzyme Na+ K+ -ATPase,2,289,Jens C. Skou,male,8/10/1918,Denmark,Lemvig,5/28/2018,Denmark,Aarhus,Aarhus University,Denmark,Aarhus
1997,chemistry,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP),4,288,John E. Walker,male,7/1/1941,United Kingdom,Halifax,0000-00-00,,,MRC Laboratory of Molecular Biology,United Kingdom,Cambridge
1997,chemistry,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP),4,287,Paul D. Boyer,male,31-07-1918,USA,Provo UT,6/2/2018,USA,Los Angeles CA,University of California,USA,Los Angeles CA
1997,physics,for development of methods to cool and trap atoms with laser light,3,154,William D. Phillips,male,5/11/1948,USA,Wilkes-Barre PA,0000-00-00,,,National Institute of Standards and Technology,USA,Gaithersburg MD
1997,physics,for development of methods to cool and trap atoms with laser light,3,152,Steven Chu,male,28-02-1948,USA,St. Louis MO,0000-00-00,,,Stanford University,USA,Stanford CA
1996,peace,for their work towards a just and peaceful solution to the conflict in East Timor,2,563,Jose Ramos-Horta,male,26-12-1949,East Timor,Dili,0000-00-00,,,,,
1996,economics,for their fundamental contributions to the economic theory of incentives under asymmetric information,2,716,William Vickrey,male,21-06-1914,Canada,Victoria BC,10/11/1996,USA,Harrison NY,Columbia University,USA,New York NY
1996,economics,for their fundamental contributions to the economic theory of incentives under asymmetric information,2,715,James A. Mirrlees,male,5/7/1936,Scotland,Minnigaff,8/29/2018,United Kingdom,Cambridge,University of Cambridge,United Kingdom,Cambridge
1996,literature,for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality,1,673,Wislawa Szymborska,female,2/7/1923,Poland,Krnik,2/1/2012,Poland,Krakow,,,
1996,peace,for their work towards a just and peaceful solution to the conflict in East Timor,2,562,Carlos Filipe Ximenes Belo,male,3/2/1948,East Timor,Wailacama,0000-00-00,,,,,
1996,medicine,for their discoveries concerning the specificity of the cell mediated immune defence,2,456,Rolf M. Zinkernagel,male,6/1/1944,Switzerland,Basel,0000-00-00,,,University of Zurich Institute of Experimental Immunology,Switzerland,Zurich
1996,medicine,for their discoveries concerning the specificity of the cell mediated immune defence,2,455,Peter C. Doherty,male,15-10-1940,Australia,Brisbane,0000-00-00,,,St. Jude Children's Research Hospital,USA,Memphis TN
1996,chemistry,for their discovery of fullerenes,3,286,Richard E. Smalley,male,6/6/1943,USA,Akron OH,10/28/2005,USA,Houston TX,Rice University,USA,Houston TX
1996,chemistry,for their discovery of fullerenes,3,285,Sir Harold Kroto,male,7/10/1939,United Kingdom,Wisbech Cambridgeshire,4/30/2016,United Kingdom,Lewes East Sussex,University of Sussex,United Kingdom,Brighton
1996,chemistry,for their discovery of fullerenes,3,284,Robert F. Curl Jr.,male,23-08-1933,USA,Alice TX,7/3/2022,USA,Houston TX,Rice University,USA,Houston TX
1996,physics,for their discovery of superfluidity in helium-3,3,151,Robert C. Richardson,male,26-06-1937,USA,Washington D.C.,2/19/2013,USA,Ithaca NY,Cornell University,USA,Ithaca NY
1996,physics,for their discovery of superfluidity in helium-3,3,150,Douglas D. Osheroff,male,1/8/1945,USA,Aberdeen WA,0000-00-00,,,Stanford University,USA,Stanford CA
1996,physics,for their discovery of superfluidity in helium-3,3,149,David M. Lee,male,20-01-1931,USA,Rye NY,0000-00-00,,,Cornell University,USA,Ithaca NY
1995,medicine,for their discoveries concerning the genetic control of early embryonic development,3,453,Christiane Nusslein-Volhard,female,20-10-1942,Germany,Magdeburg,0000-00-00,,,Max Planck Institute for Developmental Biology,Germany,Tubingen
1995,chemistry,for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone,3,281,Paul J. Crutzen,male,3/12/1933,the Netherlands,Amsterdam,1/28/2021,Germany,Mainz,Max Planck Institute for Chemistry,Germany,Mainz
1995,literature,for works of lyrical beauty and ethical depth which exalt everyday miracles and the living past,1,672,Seamus Heaney,male,13-04-1939,Northern Ireland,Castledawson,8/30/2013,Ireland,Dublin,,,
1995,economics,for having developed and applied the hypothesis of rational expectations and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy,1,714,Robert E. Lucas Jr.,male,15-09-1937,USA,Yakima WA,5/15/2023,USA,Chicago IL,University of Chicago,USA,Chicago IL
1995,peace,for their efforts to diminish the part played by nuclear arms in international politics and in the longer run to eliminate such arms,2,561,Pugwash Conferences on Science and World Affairs ,org,1957-00-00,,,,,,,,
1995,peace,for their efforts to diminish the part played by nuclear arms in international politics and in the longer run to eliminate such arms,2,560,Joseph Rotblat,male,4/11/1908,Poland,Warsaw,8/31/2005,United Kingdom,London,,,
1995,medicine,for their discoveries concerning the genetic control of early embryonic development,3,454,Eric F. Wieschaus,male,8/6/1947,USA,South Bend IN,0000-00-00,,,Princeton University,USA,Princeton NJ
1995,medicine,for their discoveries concerning the genetic control of early embryonic development,3,452,Edward B. Lewis,male,20-05-1918,USA,Wilkes-Barre PA,7/21/2004,USA,Pasadena CA,California Institute of Technology (Caltech),USA,Pasadena CA
1995,chemistry,for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone,3,283,F. Sherwood Rowland,male,28-06-1927,USA,Delaware OH,3/10/2012,USA,Corona del Mar CA,University of California,USA,Irvine CA
1995,chemistry,for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone,3,282,Mario J. Molina,male,19-03-1943,Mexico,Mexico City,10/7/2020,Mexico,Mexico City,Massachusetts Institute of Technology (MIT),USA,Cambridge MA
1995,physics,for the detection of the neutrino,2,148,Frederick Reines,male,16-03-1918,USA,Paterson NJ,8/26/1998,USA,Orange CA,University of California,USA,Irvine CA
1995,physics,for the discovery of the tau lepton,2,147,Martin L. Perl,male,24-06-1927,USA,New York NY,9/30/2014,USA,Palo Alto CA,Stanford University,USA,Stanford CA
1994,economics,for their pioneering analysis of equilibria in the theory of non-cooperative games,3,713,Reinhard Selten,male,5/10/1930,Poland,Wroclaw,8/23/2016,Poland,Poznan,Rheinische Friedrich-Wilhelms-Universitat,Germany,Bonn
1994,economics,for their pioneering analysis of equilibria in the theory of non-cooperative games,3,712,John F. Nash Jr.,male,13-06-1928,USA,Bluefield WV,5/23/2015,USA,New Jersey NJ,Princeton University,USA,Princeton NJ
1994,economics,for their pioneering analysis of equilibria in the theory of non-cooperative games,3,711,John C. Harsanyi,male,29-05-1920,Hungary,Budapest,8/9/2000,USA,Berkeley CA,University of California,USA,Berkeley CA
1994,literature,who with poetic force creates an imagined world where life and myth condense to form a disconcerting picture of the human predicament today,1,671,Kenzaburo Oe,male,31-01-1935,Japan,Uchiko,3/3/2023,Japan,Tokyo,,,
1994,peace,for their efforts to create peace in the Middle East,3,559,Yitzhak Rabin,male,1/3/1922,Israel,Jerusalem,11/4/1995,Israel,Tel Aviv,,,
1994,peace,for their efforts to create peace in the Middle East,3,558,Shimon Peres,male,16-08-1923,Belarus,Vishneva,9/28/2016,Israel,Tel Aviv,,,
1994,peace,for their efforts to create peace in the Middle East,3,557,Yasser Arafat,male,24-08-1929,Egypt,Cairo,11/11/2004,France,Paris,,,
1994,medicine,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,2,451,Martin Rodbell,male,1/12/1925,USA,Baltimore MD,12/7/1998,USA,Chapel Hill NC,National Institute of Environmental Health Sciences,USA,Research Triangle Park NC
1994,medicine,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,2,450,Alfred G. Gilman,male,1/7/1941,USA,New Haven CT,12/23/2015,USA,Dallas TX,University of Texas Southwestern Medical Center at Dallas,USA,Dallas TX
1994,chemistry,for his contribution to carbocation chemistry,1,280,George A. Olah,male,22-05-1927,Hungary,Budapest,3/8/2017,USA,Los Angeles CA,University of Southern California,USA,Los Angeles CA
1994,physics,for the development of the neutron diffraction technique,2,146,Clifford G. Shull,male,23-09-1915,USA,Pittsburgh PA,3/31/2001,USA,Medford MA,Massachusetts Institute of Technology (MIT),USA,Cambridge MA
1994,physics,for the development of neutron spectroscopy,2,145,Bertram N. Brockhouse,male,15-07-1918,Canada,Lethbridge Alberta,10/13/2003,Canada,Hamilton Ontario,McMaster University,Canada,Hamilton Ontario
1993,economics,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change,2,710,Douglass C. North,male,5/11/1920,USA,Cambridge MA,11/23/2015,USA,Benzonia MI,Washington University,USA,St. Louis MO
1993,economics,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change,2,709,Robert W. Fogel,male,1/7/1927,USA,New York NY,6/11/2013,USA,Oak Lawn IL,University of Chicago,USA,Chicago IL
1993,literature,who in novels characterized by visionary force and poetic import gives life to an essential aspect of American reality,1,670,Toni Morrison,female,18-02-1931,USA,Lorain OH,8/5/2019,USA,New York NY,,,
1993,peace,for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic South Africa,2,556,F.W. de Klerk,male,18-03-1936,South Africa,Johannesburg,11/11/2021,South Africa,Cape Town,,,
1993,peace,for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic South Africa,2,555,Nelson Mandela,male,18-07-1918,South Africa,Qunu,12/5/2013,South Africa,Johannesburg,,,
1993,medicine,for their discoveries of split genes,2,449,Phillip A. Sharp,male,6/6/1944,USA,Falmouth KY,0000-00-00,,,Massachusetts Institute of Technology (MIT) Center for Cancer Research,USA,Cambridge MA
1993,medicine,for their discoveries of split genes,2,448,Richard J. Roberts,male,6/9/1943,United Kingdom,Derby,0000-00-00,,,New England Biolabs,USA,Beverly MA
1993,chemistry,for his fundamental contributions to the establishment of oligonucleotide-based site-directed mutagenesis and its development for protein studies,2,279,Michael Smith,male,26-04-1932,United Kingdom,Blackpool,10/4/2000,Canada,Vancouver,University of British Columbia,Canada,Vancouver
1993,chemistry,for his invention of the polymerase chain reaction (PCR) method,2,278,Kary B. Mullis,male,28-12-1944,USA,Lenoir NC,8/7/2019,USA,Newport Beach CA,,,
1993,physics,for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation,2,144,Joseph H. Taylor Jr.,male,29-03-1941,USA,Philadelphia PA,0000-00-00,,,Princeton University,USA,Princeton NJ
1993,physics,for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation,2,143,Russell A. Hulse,male,28-11-1950,USA,New York NY,0000-00-00,,,Princeton University,USA,Princeton NJ
1992,peace,for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples,1,554,Rigoberta Menchu Tum,female,9/1/1959,Guatemala,Aldea Chimel,0000-00-00,,,,,
1992,physics,for his invention and development of particle detectors in particular the multiwire proportional chamber,1,142,Georges Charpak,male,1/8/1924,Poland,Dabrovica,9/29/2010,France,Paris,Ecole Superieure de Physique et Chimie,France,Paris
1992,economics,for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction including nonmarket behaviour,1,708,Gary Becker,male,2/12/1930,USA,Pottsville PA,5/3/2014,USA,Chicago IL,University of Chicago,USA,Chicago IL
